key,source,Translation
English_US,Yes.,
Description,,
French,Oui.,
Italian,Sì.,
German,Ja.,
Spanish_Spain,Sí.,
Spanish_LATAM,Sí.,
Korean,그래.,
Russian,,
Japanese,はい,
Portuguese_Brazil,Sim.,
Chinese_Simplified,是。,
Chinese_Traditional,是。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0008-Choice,
English_US,No.,
Description,,
French,Non.,
Italian,No.,
German,Nein.,
Spanish_Spain,No.,
Spanish_LATAM,No.,
Korean,아니야.,
Russian,,
Japanese,いいえ,
Portuguese_Brazil,Não.,
Chinese_Simplified,否。,
Chinese_Traditional,否。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0009-Alta,
English_US,"I don't get it. {{Boro}} had no problem carrying it, so what's wrong with me??",
Description,,
French,"Je ne comprends pas. {{Boro}} a pu la soulever sans difficulté, qu'est-ce qui cloche chez moi ?",
Italian,"Non capisco. {{Boro}} non ha avuto nessun problema a trasportarla, cosa c'è che non va in me?",
German,"Ich verstehe das nicht. {{Boro}} konnte es problemlos tragen, was stimmt also nicht mit mir?",
Spanish_Spain,"No lo entiendo. {{Boro}} no tuvo ningún problema en levantarla. Entonces, ¿qué me pasa?",
Spanish_LATAM,No entiendo... {{Boro}} no tuvo ningún problema en levantarla. ¿Qué pasa conmigo?,
Korean,이해가 안 가. {{Boro}}는 잘만 드는데 난 뭐가 문제인 거지??,
Russian,,
Japanese,どういうことだ。{{ボロ}}は軽々と剣を運べるのに、なぜ私にはできない？,
Portuguese_Brazil,"Não entendo. O {{Boro}} não teve problema pra carregar ela, o que tem de errado comigo??",
Chinese_Simplified,我不明白。明明{{Boro}}可以轻松拿起来，为什么我不行？？,
Chinese_Traditional,我不懂。{{Boro}}就拿得動，我到底怎麼了？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0010-Alta,
English_US,"I'll fix this. That's what I'm good at.",
Description,,
French,"Je vais régler ça. C'est ma spécialité.",
Italian,Sistemerò tutto. È la mia specialità.,
German,Ich bring das in Ordnung. Darin bin ich gut.,
Spanish_Spain,Lo solucionaré. Se me da bien eso.,
Spanish_LATAM,Ya lo voy a resolver. Soy buena en eso.,
Korean,어떻게든 해결할 거야. 그게 내 전공이니까.,
Russian,,
Japanese,何とかしよう。私ならできる。,
Portuguese_Brazil,Vou dar um jeito. Sou boa nisso.,
Chinese_Simplified,我能搞定。我最擅长克服困难。,
Chinese_Traditional,我會處理好的。這是我的專長。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0011-Alta,
English_US,"I still haven't rested enough?? It's been forever!",
Description,,
French,Je ne suis toujours pas reposée ? Ça fait une éternité !,
Italian,"Non mi sono ancora riposata? È passata un'eternità!",
German,Ich habe immer noch nicht genug geruht? Das dauert ja ewig!,
Spanish_Spain,¿Aún no he descansado lo suficiente? ¡Parece como si hubiera pasado una eternidad!,
Spanish_LATAM,¡¿Todavía no descansé lo suficiente?! ¡Parece como si hubiera pasado una eternidad!,
Korean,아직도 휴식이 부족한가?? 그렇게 오래 쉬었는데!,
Russian,,
Japanese,まだ休息が足りないとでも？ ふざけるな！,
Portuguese_Brazil,Ainda não descansei o suficiente?? Já faz anos!,
Chinese_Simplified,我还没休息够？都已经这么久了！,
Chinese_Traditional,我休息得還不夠嗎？？已經這麼久了！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0012-Alta,
English_US,"How much longer until I've had enough rest? What's it gonna take?",
Description,,
French,"Quand est-ce que j'aurai récupéré ? Ça va durer encore longtemps ?",
Italian,Quanto tempo dovrò aspettare ancora per riprendermi? Quanto ci vorrà?,
German,"Wie lange noch, bis ich genug geruht habe? Was muss ich denn noch machen?",
Spanish_Spain,¿Cuánto queda para que haya descansado lo suficiente? ¿Qué hará falta?,
Spanish_LATAM,¿Cuánto me falta para que haya descansado lo suficiente? ¡¿Cuánto tiempo más?!,
Korean,대체 얼마나 쉬어야 하는 거야? 뭘 어떡하라고?,
Russian,,
Japanese,いつまで休めば元どおりになる？ 何が必要なんだ？,
Portuguese_Brazil,Quanto tempo mais eu preciso pra me sentir descansada? O que vai ser preciso?,
Chinese_Simplified,还要休息多久？到底要怎么做？,
Chinese_Traditional,我還要休息多久才算足夠？要花多少時間？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0013-Alta,
English_US,...how? How did I do something so stupid?,
Description,,
French,… comment ? Comment ai-je pu agir aussi stupidement ?,
Italian,… Come? Come ho potuto fare una cosa così stupida?,
German,… wie? Wie konnte ich nur so was Dummes tun?,
Spanish_Spain,¿Cómo...? ¿Cómo he hecho algo tan estúpido?,
Spanish_LATAM,¿Cómo... Cómo fue que hice algo tan estúpido?,
Korean,...어떻게? 내가 어떻게 그런 멍청한 짓을?,
Russian,,
Japanese,どうして… 私はなんてバカなことを…,
Portuguese_Brazil,Como? Como eu fui fazer uma coisa tão idiota?,
Chinese_Simplified,……怎么会这样？我怎么会做出这种蠢事？,
Chinese_Traditional,……怎麼會？我怎麼會幹出這麼蠢的事？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0014-Alta,
English_US,"I can't. I don't... I don't deserve this sword.",
Description,,
French,"Je n'y arrive pas. Je ne… je ne mérite pas cette épée.",
Italian,Non posso. Io non... non merito questa spada.,
German,Ich kann nicht. Ich … Ich verdiene dieses Schwert nicht.,
Spanish_Spain,No puedo. No... no me merezco esta espada.,
Spanish_LATAM,No puedo. No... No me merezco esta espada.,
Korean,안 돼. 나는... 나는 이 검을 들 자격이 없어.,
Russian,,
Japanese,ダメだ。私は… この剣にふさわしくない。,
Portuguese_Brazil,Não dá. Eu não... eu não mereço essa espada.,
Chinese_Simplified,不行。我不配……我配不上这把剑。,
Chinese_Traditional,我無法。我配不上……我配不上這把劍。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0015-Alta,
English_US,...,
Description,,
French,...,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0016-Alta,
English_US,"Stay on your toes, {{Alta}}.",
Description,,
French,"Reste sur tes gardes, {{Alta}}.",
Italian,"Stai in guardia, {{Alta}}.",
German,"Bleib wachsam, {{Alta}}.",
Spanish_Spain,"Mantente alerta, {{Alta}}.",
Spanish_LATAM,"No bajes la guardia, {{Alta}}.",
Korean,"긴장 풀지 말자, {{Alta}}.",
Russian,,
Japanese,気を抜くな、{{アルタ}}。,
Portuguese_Brazil,"Fica ligada, {{Alta}}.",
Chinese_Simplified,保持警惕，{{Alta}}。,
Chinese_Traditional,{{Alta}}，提高警覺。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0017-Alta,
English_US,"When I go home, will I be able to take my sword with me?",
Description,,
French,"Quand je retournerai chez moi, je serai capable d'emporter mon épée avec moi ?",
Italian,"Quando tornerò a casa, riuscirò a portare la mia spada?",
German,"Wenn ich nach Hause gehe, kann ich mein Schwert dann mitnehmen?",
Spanish_Spain,"Cuando regrese a casa, ¿podré llevarme mi espada?",
Spanish_LATAM,"Cuando regrese a casa, ¿podré llevarme mi espada?",
Korean,집으로 돌아갈 때 이 검을 가져갈 수 있을까?,
Russian,,
Japanese,家に帰るときは、剣を持って行けるんだろうか。,
Portuguese_Brazil,"Quando eu for pra casa, vou poder levar a minha espada comigo?",
Chinese_Simplified,等我回家的时候，就能拿走我的剑吗？,
Chinese_Traditional,我有辦法帶著自己的劍回家嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0018-Alta,
English_US,I hope so. I really do.,
Description,,
French,"J'espère. J'espère vraiment.",
Italian,Lo spero. Lo spero veramente.,
German,Ich hoffe doch. Wirklich.,
Spanish_Spain,Espero que sí. De verdad.,
Spanish_LATAM,Espero que sí. De verdad.,
Korean,그러길 바라. 진심으로.,
Russian,,
Japanese,そう願うよ。心から。,
Portuguese_Brazil,Espero que sim. Mesmo.,
Chinese_Simplified,我希望可以。真的。,
Chinese_Traditional,希望可以。我真希望可以......,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0019-Alta,
English_US,"Wait, what?? I could carry the sword when I was with Monster!",
Description,"""Monster"" is a person's name",
French,"Mais qu'est-ce qui se passe ? J'arrivais à porter mon épée quand j'étais avec Monstro !",
Italian,Eppure… sono riuscita a sollevare la spada quando ero con Mostro.,
German,"Moment, was? Ich konnte das Schwert tragen, als ich bei Monster war!",
Spanish_Spain,Pero... ¿cómo es posible? ¡Podía llevar la espada cuando estaba con Monstruo!,
Spanish_LATAM,Pero qué... ¡¿Cómo es posible?! ¡Si podía levantar la espada cuando estaba con Monstrita!,
Korean,"잠깐, 뭐야?? {{Monster}}와 함께 있을 때는 검을 들 수 있었는데!",
Russian,,
Japanese,どういうことだ？ モンスターといたときは剣を持てたのに！,
Portuguese_Brazil,"Espera, o quê?? Eu conseguia carregar a minha espada quando eu estava com a Monstro!",
Chinese_Simplified,等等，什么？？和 {{Monster}} 一起的时候我明明能拿起这把剑！,
Chinese_Traditional,等一下，什麼？？我跟 {{Monster}} 一起的時候就拿得動這把劍！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0020-Alta,
English_US,Why not now??,
Description,,
French,"Pourquoi je n'y arrive plus ?",
Italian,Perché non adesso?,
German,Warum jetzt nicht?,
Spanish_Spain,¿Por qué ahora no puedo?,
Spanish_LATAM,¡¿Por qué ahora no puedo?!,
Korean,갑자기 왜 안 되는 거지??,
Russian,,
Japanese,なぜ今は…？,
Portuguese_Brazil,Por que agora não consigo??,
Chinese_Simplified,为什么现在又不行了？？,
Chinese_Traditional,現在怎麼就不行了？？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0021-Alta,
English_US,I wonder why I was able to hold the sword when I was in the forest with Monster.,
Description,,
French,"Je me demande pourquoi j'arrivais à porter l'épée quand j'étais dans la forêt avec Monstro.",
Italian,Mi chiedo perché ero riuscita a sollevare la spada quando ero nella foresta con Mostro.,
German,"Ich frage mich, warum ich das Schwert tragen konnte, als ich mit Monster im Wald war.",
Spanish_Spain,No sé por qué podía sostener la espada cuando estaba en el bosque con Monstruo.,
Spanish_LATAM,Me pregunto por qué podía sostener la espada cuando estaba en el bosque con Monstrita.,
Korean,숲에서 {{Monster}}와 함께 있을 때는 어떻게 검을 들 수 있었는지 모르겠어.,
Russian,,
Japanese,なぜモンスターと森にいたときは、剣を持てたんだろう。,
Portuguese_Brazil,Por que será que eu consegui segurar a espada quando eu estava na floresta com a Monstro.,
Chinese_Simplified,为什么我和 {{Monster}} 一起在森林里的时候，就能拿起这把剑？,
Chinese_Traditional,我想想我跟 {{Monster}} 在森林裡的時候我是怎麼拿得起這把劍的。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0022-Alta,
English_US,"When I grabbed the sword and, um...",
Description,,
French,"Quand j'ai attrapé l'épée et… heu…",
Italian,Quando ho afferrato la spada e… eh...,
German,Als ich das Schwert gepackt habe und …,
Spanish_Spain,"Cuando cogí la espada y, eh...",
Spanish_LATAM,Cuando levanté la espada y...,
Korean,"손으로 검을 쥐는 순간, 음...",
Russian,,
Japanese,さっき剣を握ったときは…,
Portuguese_Brazil,"Quando eu peguei a espada e, ahm...",
Chinese_Simplified,当时我把剑握住，然后……,
Chinese_Traditional,當時我抓住劍柄，然後，呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0023-Alta,
English_US,...nevermind.,
Description,,
French,… laisse tomber.,
Italian,… non importa.,
German,"… ach, egal.",
Spanish_Spain,... da igual.,
Spanish_LATAM,"Bueno, qué importa.",
Korean,...아니다.,
Russian,,
Japanese,…もういい。,
Portuguese_Brazil,Deixa pra lá.,
Chinese_Simplified,……好吧。,
Chinese_Traditional,……算了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0024-Alta,
English_US,...,
Description,,
French,...,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,...,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0025-Boro,
English_US,Excellent job! Please come see me to discuss next steps.,
Description,,
French,Excellent travail ! Viens me voir pour discuter des étapes suivantes.,
Italian,Ottimo lavoro! Vieni a cercarmi per discutere i prossimi passi.,
German,"Sehr gute Arbeit! Komm zu mir, um die nächsten Schritte zu besprechen.",
Spanish_Spain,¡Un trabajo excelente! Ven a verme para hablar sobre los próximos pasos.,
Spanish_LATAM,¡Un trabajo excelente! Ven a verme para hablar sobre los próximos pasos.,
Korean,훌륭해요! 다음 순서에 관해 상의하려면 나를 찾아와 주세요.,
Russian,,
Japanese,お見事だね！ おいらのとこへ来てくれ。次のステップの話をしよう。,
Portuguese_Brazil,Excelente! Venha falar comigo para discutirmos os próximos passos.,
Chinese_Simplified,干得漂亮！请来找我讨论后续计划。,
Chinese_Traditional,做得好！請來找我，我們來討論接下來的步驟。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0026-Boro,
English_US,"Oh, Miss, I should have mentioned that you do not need to be using your clippers to get seeds.",
Description,"""Clippers"" in this sense means ""garden clippers"" for cutting plants",
French,"Oh, mademoiselle, j'aurais dû préciser que tu n'as pas besoin d'utiliser tes cisailles pour obtenir des graines.",
Italian,"Ah, signorina, avrei dovuto spiegare che non è necessario usare le cesoie per raccogliere i semi.",
German,"Oh, meine Liebe, ich hätte sagen sollen, dass du keine Schere brauchst, um an die Samen zu kommen.",
Spanish_Spain,"Ah, señorita, debería haber mencionado que no es necesario usar la podadora para obtener semillas.",
Spanish_LATAM,"Ah, señorita, debería haber mencionado que no hace falta usar las tijeras de poda para obtener semillas.",
Korean,"아, 씨앗을 얻을 때 제초 가위는 필요 없다는 이야기를 깜빡했네요.",
Russian,,
Japanese,おっと、お嬢さん、言っておけばよかったね。種を取るのに植木バサミはいらないんだ。,
Portuguese_Brazil,"Ah, senhorita, eu deveria ter falado que você não precisa usar sua tesoura para colher sementes.",
Chinese_Simplified,哦，小姐，我本该告诉你的，并不需用剪刀采集种子。,
Chinese_Traditional,噢，小姐，我忘了跟你說，如果想想獲得種子，不需要用到剪具。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0027-Boro,
English_US,All you need to do is grab the seeds right off the Small Hybrid with your bare hands!,
Description,,
French,Il suffit de les récolter à la main directement sur les petits hybrides !,
Italian,Basta prendere i semi dai piccoli ibridi direttamente con le mani!,
German,Du kannst sie einfach mit bloßen Händen aus dem Kleinen Hybriden nehmen!,
Spanish_Spain,¡Lo único que necesitas hacer es coger las semillas del híbrido pequeño con tus propias manos!,
Spanish_LATAM,¡Lo único que hay que hacer es tomar las semillas de la híbrida pequeña con las manos y ya!,
Korean,씨앗은 그냥 맨손으로 소형 교배종에서 바로 챙길 수 있어요!,
Russian,,
Japanese,<lf>素手で小型のハイブリッドから種をもぎ取るだけでいいのさ！,
Portuguese_Brazil,Só precisa colher as sementes diretamente da híbrida pequena com as mãos!,
Chinese_Simplified,想从小型混种植物上采集种子，直接用手就可以了！,
Chinese_Traditional,你只要徒手從小型混種上摘下種子就可以囉！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0028-Boro,
English_US,"Unless you are WISHING to be harbinger of plant destruction? Oh dear, what a thought that would be...",
Description,"""Harbinger of plant destruction"" means ""someone who's trying to destroy plants""",
French,"À moins que tu n'aies envie de jouer les tueuses de plantes ? Oh ma chère, ça serait vraiment une horrible idée...",
Italian,"A meno che tu non VOGLIA essere un'assassina delle piante? Oh cielo, che pensiero orrendo...",
German,"Es sei denn, du WILLST unbedingt die Botin der Pflanzenvernichtung sein? Oh je, die bloße Vorstellung …",
Spanish_Spain,"A menos que quieras ser un heraldo de destrucción de las plantas... Ay, no quiero ni imaginarme eso.",
Spanish_LATAM,"A menos que quieras ser la heraldo de la destrucción de plantas... ¡Ay, no quiero ni imaginarme eso!",
Korean,"혹시 식물 파괴의 선두 주자가 되려는 의도가 아니라면 말이죠? 어휴, 그렇게 된다면 끔찍하겠죠...",
Russian,,
Japanese,植物を滅亡させる先駆者になりたいってわけじゃないんだろ？ いやはや、考えるだけで怖いな…,
Portuguese_Brazil,"A menos que QUEIRA ser o arauto da destruição das plantas? Minha nossa, que pensamento horrível...",
Chinese_Simplified,除非你就是想成为植物终结者？哦，天呐，这想法多么可怕啊……,
Chinese_Traditional,除非你其實是想毀了這些植物？老天，多可怕的念頭啊……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0029-Boro,
English_US,"Oh, Miss, I should have mentioned that you do not need to be using your clippers to get fruits.",
Description,,
French,"Oh, mademoiselle, j'aurais dû préciser que tu n'as pas besoin d'utiliser tes cisailles pour récolter des fruits.",
Italian,"Ah, signorina, avrei dovuto spiegare che non è necessario usare le cesoie per raccogliere i frutti.",
German,"Oh, meine Liebe, ich hätte sagen sollen, dass du keine Schere brauchst, um an Früchte zu kommen.",
Spanish_Spain,"Oh, señorita, debería haber mencionado que no es necesario usar la podadora para obtener frutas.",
Spanish_LATAM,"Ah, señorita, debería haber mencionado que no hace falta usar las tijeras de poda para obtener frutas.",
Korean,"아, 열매를 얻을 때 제초 가위는 필요 없다는 이야기를 깜빡했네요.",
Russian,,
Japanese,おっと、お嬢さん、言っておけばよかったね。果実を取るのに植木バサミはいらないんだ。,
Portuguese_Brazil,"Ah, senhorita, eu deveria ter falado que você não precisa usar sua tesoura para colher frutas.",
Chinese_Simplified,哦，小姐，我本该告诉你的，并不需用剪刀采摘果实。,
Chinese_Traditional,噢，小姐，我忘了跟你說，如果想獲得果實，不需要用到剪具。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0030-Boro,
English_US,All you need to do is grab the fruits right off the Large Hybrid with your bare hands!,
Description,,
French,Il suffit de les récolter à la main directement sur les grands hybrides !,
Italian,Basta prendere i frutti dai grandi ibridi direttamente con le mani!,
German,Du kannst sie einfach mit bloßen Händen vom Großen Hybriden pflücken!,
Spanish_Spain,¡Lo único que necesitas hacer es coger las frutas del híbrido grande con tus propias manos!,
Spanish_LATAM,¡Lo único que hay que hacer es tomar las frutas de la híbrida grande con las manos y ya!,
Korean,열매는 그냥 맨손으로 대형 교배종에서 바로 챙길 수 있어요!,
Russian,,
Japanese,素手で大型のハイブリッドから果実をもぎ取るだけでいいのさ！,
Portuguese_Brazil,Só precisa colher as sementes diretamente da híbrida grande com as mãos!,
Chinese_Simplified,想从大型种植物上采摘果实，直接用手就可以了！,
Chinese_Traditional,你只要徒手從大型混種上摘下果實就可以囉！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Alta_RAW-0031-Boro,
English_US,"Unless you are WISHING to be harbinger of plant destruction? Oh dear, what a thought that would be...",
Description,,
French,"À moins que tu n'aies envie de jouer les tueuses de plantes ? Oh ma chère, ça serait vraiment une horrible idée...",
Italian,"A meno che tu non VOGLIA essere un'assassina delle piante? Oh cielo, che pensiero orrendo...",
German,"Es sei denn, du WILLST unbedingt die Botin der Pflanzenvernichtung sein? Oh je, die bloße Vorstellung …",
Spanish_Spain,"A menos que quieras ser un heraldo de destrucción de las plantas... Ay, no quiero ni imaginarme eso.",
Spanish_LATAM,"A menos que quieras ser la heraldo de la destrucción de plantas... ¡Ay, no quiero ni imaginarme eso!",
Korean,"혹시 식물 파괴의 선두 주자가 되려는 의도가 아니라면 말이죠? 어휴, 그렇게 된다면 끔찍하겠죠...",
Russian,,
Japanese,植物を滅亡させる先駆者になりたいってわけじゃないんだろ？ いやはや、考えるだけで怖いな…,
Portuguese_Brazil,"A menos que QUEIRA ser o arauto da destruição das plantas? Minha nossa, que pensamento horrível...",
Chinese_Simplified,除非你就是想成为植物终结者？哦，天呐，这想法多么可怕啊……,
Chinese_Traditional,除非你其實是想毀了這些植物？老天，多可怕的念頭啊……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
