Chinese_Simplified,哦，呃，不用了，谢谢。
Chinese_Traditional,噢，呃，不。不了。謝謝。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0004-Alta
English_US,...
Description,
French,…
Italian,...
German,…
Spanish_Spain,...
Spanish_LATAM,...
Korean,...
Russian,...
Japanese,…
Portuguese_Brazil,...
Chinese_Simplified,……
Chinese_Traditional,……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0005-Customer
English_US,Я в порядке. Не надо чая.
Description,
French,"Non ça va, pas de thé."
Italian,Sono a posto. Niente tè.
German,Es geht mir gut. Kein Tee.
Spanish_Spain,Estoy bien. No quiero té.
Spanish_LATAM,Te agradezco. No quiero té.
Korean,괜찮아요. 차는 됐어요.
Russian,I'm fine. No tea.
Japanese,いいんです。お茶は。
Portuguese_Brazil,Estou bem. Não quero chá.
Chinese_Simplified,不必了。不想喝茶。
Chinese_Traditional,我沒事。不要茶。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0006-Customer
English_US,"Впрочем, спасибо, что спросили."
Description,
French,"Mais, merci d'avoir proposé."
Italian,Grazie comunque.
German,Aber danke der Nachfrage.
Spanish_Spain,Pero gracias por preguntar.
Spanish_LATAM,"Igual, gracias por preguntar."
Korean,신경 써주셔서 감사해요.
Russian,"Thank you for asking, though."
Japanese,でも、お気遣いをどうも。
Portuguese_Brazil,Mas agradeço por perguntar.
Chinese_Simplified,不过还是多谢关心。
Chinese_Traditional,不過感謝你的詢問。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0007-Alta
English_US,"Конечно. В таком случае я просто, э-э, займусь чем-нибудь другим. Тогда."
Description,
French,"Pas de souci. Dans ce cas, je vais… euh… je vais aller faire autre chose."
Italian,Nessun problema. In tal caso…em... farò qualcos'altro.
German,"Klar. In dem Fall, äh, mach ich einfach was anderes. Na dann."
Spanish_Spain,"Claro. En ese caso, eh... haré otra cosa entonces."
Spanish_LATAM,"Claro. En ese caso, eh... haré otra cosa entonces."
Korean,"그래요. 저는 그냥... 음, 다른 일 하고 있을게요. 그럼."
Russian,"Sure. In that case I'll just, uh, do something else. Then."
Japanese,そうか。だったら、その…他のことをするよ。それじゃ。
Portuguese_Brazil,"Claro. Nesse caso, vou, ahm, fazer outra coisa, então."
Chinese_Simplified,当然。那我就，呃，去忙别的了。好吧。
Chinese_Traditional,不客氣。這樣的話，那我就去做其他事。就這樣。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0008-Customer
English_US,Конечно.
Description,
French,Bien sûr.
Italian,Certamente.
German,Klar.
Spanish_Spain,Claro.
Spanish_LATAM,Claro.
Korean,그러세요.
Russian,Sure.
Japanese,ええ。
Portuguese_Brazil,Claro.
Chinese_Simplified,当然。
Chinese_Traditional,好。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0009-Alta
English_US,Конечно.
Description,
French,Bien sûr.
Italian,Certamente.
German,Klar.
Spanish_Spain,Claro.
Spanish_LATAM,Claro.
Korean,그럴게요.
Russian,Sure.
Japanese,ああ。
Portuguese_Brazil,Claro.
Chinese_Simplified,当然。
Chinese_Traditional,好。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0010-Customer
English_US,Хорошо.
Description,
French,OK.
Italian,Va bene.
German,Okay.
Spanish_Spain,Vale.
Spanish_LATAM,Está bien.
Korean,그래요.
Russian,Okay.
Japanese,どうも。
Portuguese_Brazil,Tá bem.
Chinese_Simplified,好的。
Chinese_Traditional,好喔。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0011-Alta
English_US,Хорошо.
Description,
French,OK.
Italian,Va bene.
German,Okay.
Spanish_Spain,Vale.
Spanish_LATAM,Está bien.
Korean,그래요.
Russian,Okay.
Japanese,どうも。
Portuguese_Brazil,Tá bem.
Chinese_Simplified,好的。
Chinese_Traditional,好喔。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0012-Customer
English_US,Хорошо.
Description,
French,OK.
Italian,Va bene.
German,Okay.
Spanish_Spain,Vale.
Spanish_LATAM,Está bien.
Korean,그래요.
Russian,Okay.
Japanese,では。
Portuguese_Brazil,Tá bem.
Chinese_Simplified,好的。
Chinese_Traditional,好喔。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0013-Alta
English_US,"Эй. Мы только что говорили, секунду назад."
Description,
French,"Eh, salut ! On vient de se parler, il y a un instant."
Italian,"Ehilà. Abbiamo appena parlato, un secondo fa."
German,Hey. Wir haben uns gerade eben unterhalten.
Spanish_Spain,Hola. Acabamos de hablar hace un segundo.
Spanish_LATAM,"Hola. Recién charlamos, ¿recuerdas?"
Korean,"저기, 있잖아요. 방금 얘기 나눴었잖아요."
Russian,"Hey there. We just talked, a second ago."
Japanese,やあ、どうも。さっき話したよね。
Portuguese_Brazil,Olá. A gente conversou há um segundo.
Chinese_Simplified,你好呀。我们刚刚说过话。
Chinese_Traditional,你好。我們幾秒前才講過話。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0014-Customer
English_US,"О, верно, да. Здравствуйте."
Description,
French,"Ah, oui. Salut."
Italian,"Ah, giusto, sì. Ciao."
German,"Oh, stimmt, ja. Hallo."
Spanish_Spain,"Ah, sí, cierto. Hola."
Spanish_LATAM,"Ah, sí, cierto. Hola."
Korean,"아, 맞아요. 그랬죠. 안녕하세요."
Russian,"Oh, right, yes. Hello."
Japanese,ああ、そうですね。こんにちは。
Portuguese_Brazil,"Ah, certo, sim. Olá."
Chinese_Simplified,哦，是的，没错。你好。
Chinese_Traditional,噢，對，是的。哈囉。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0015-Alta
English_US,"Ага, насчёт этого."
Description,
French,"Oui, à propos…"
Italian,"Sì, a proposito…"
German,"Ja, was das angeht …"
Spanish_Spain,"Sí, sobre eso."
Spanish_LATAM,"Sí, sobre eso..."
Korean,"네, 할 말이 있어서요."
Russian,"Yeah, about that."
Japanese,さっきの話なんだけど…
Portuguese_Brazil,"Então, voltando ao assunto."
Chinese_Simplified,嗯，是这样的。
Chinese_Traditional,對，說到這個。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0016-Choice
English_US,"Вы сказали, что не хотите чая, но это явно была оговорка."
Description,"""slip of the tongue"" means you said the wrong thing"
French,"Tu as dit que tu ne voulais pas de thé, mais ta langue a dû fourcher."
Italian,"Hai detto che non vuoi il tè, ma ho l'impressione che intendessi il contrario."
German,"Du meintest, du willst keinen Tee, aber das war offenbar ein Versprecher."
Spanish_Spain,"Dijiste que no querías té, pero está claro que fue un desliz."
Spanish_LATAM,"Dijiste que no querías té, pero está claro que te equivocaste."
Korean,아까 차는 됐다고 하셨는데 혹시 말이 헛나왔나 해서요.
Russian,"You said you don't want tea, but that was obviously a slip of the tongue."
Japanese,お茶がいらないっていうのは、あんたの言い間違いだよな。
Portuguese_Brazil,"Você disse que não queria chá, mas claramente se confundiu."
Chinese_Simplified,你刚才说你不想要茶，肯定是嘴瓢了吧。
Chinese_Traditional,你說你不想喝茶，但那顯然只是隨口說說。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0017-Choice
English_US,"Давайте не будем ходить вокруг да около: вы будете пить чай, и точка."
Description,"""let's not dance around it"" means ""let's be clear"""
French,On ne va pas tourner autour du pot : tu vas boire du thé sans discuter.
Italian,Non giriamoci attorno: berrai un tè e non si discute.
German,"Reden wir nicht um den heißen Brei herum: Du trinkst Tee, und damit basta."
Spanish_Spain,No le demos más vueltas: vas a tomar té y no vas a poder negarte.
Spanish_LATAM,No le demos más vueltas: vas a tomar té y no vas a poder negarte.
Korean,단도직입적으로 말할게요. 차 갖다 줄 테니 그냥 마셔요.
Russian,Let's not dance around it: you're drinking tea and that's final.
Japanese,単刀直入に言う。お茶を飲むんだ。異論は認めない。
Portuguese_Brazil,Não vamos enrolar: você vai tomar um chá e ponto final.
Chinese_Simplified,我就不绕弯子了：你想喝茶，不容反驳。
Chinese_Traditional,我們就直話直說，你要喝茶，就這樣。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0018-Customer
English_US,Э-э... ну... я не хочу вас поправлять...
Description,"These lines are meant to sound unsure, like the person is stumbling over their words<lf>From [0016-Choice]"
French,Euh… c'est-à-dire que… je ne voudrais pas paraître…
Italian,Ehm... cioè... non vorrei apparire...
German,Äh …nun ja … Ich will dich nicht korrigieren …
Spanish_Spain,Eh... bueno... No es mi intención corregirte...
Spanish_LATAM,Eh... Bueno... No es mi intención corregirte...
Korean,어... 음... 말씀에 반박할 생각은 없지만...
Russian,Uh... well... I don't mean to correct you...
Japanese,あの…いえ…お言葉を返すようですが…
Portuguese_Brazil,Ahm... bem... não queria te corrigir...
Chinese_Simplified,呃……好吧……不是说你说得不对……
Chinese_Traditional,呃……可是……我不想糾正你……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0019-Customer
English_US,"Но именно это я и хотел сказать. Насчёт чая, я имею в виду. Что... не хочу его."
Description,
French,Mais ma langue n'a pas fourché. Pour le thé… je… je n'en veux pas.
Italian,"Ma era proprio quello che volevo dire. Riguardo al tè, intendo. Di non... volerlo."
German,"Aber genau das wollte ich sagen. Über den Tee, meine ich. Dass ich …keinen möchte."
Spanish_Spain,"Pero eso era lo que quería decir. Sobre el té, quiero decir... No lo quiero."
Spanish_LATAM,"Pero eso era lo que quería decir. Sobre el té, digo... No lo quiero."
Korean,제대로 말한 게 맞아요. 차에 대한 거 말이에요. 전... 괜찮은 것 같아요.
Russian,"But that was what I meant to say. About tea, I mean. Not... wanting it."
Japanese,さっき言ったことは本当です。お茶のことですが。今は…欲しくないので。
Portuguese_Brazil,Mas essa era a minha intenção. Em relação ao chá. Não... vou querer.
Chinese_Simplified,但我没有嘴瓢。我是说关于喝茶的事。我并不想喝。
Chinese_Traditional,但我不是那個意思。我指的是茶。不……不想。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0020-Customer
English_US,"Так что да... кажется, я так и сказал. Не надо чая. Спасибо."
Description,
French,"Alors… oui, c'est ce que j'ai dit, je crois. Pas de thé. Merci."
Italian,"Quindi sì... è quello che ho detto, credo. Niente tè. Grazie."
German,"Also, ja …das habe ich gesagt, glaube ich. Kein Tee. Danke."
Spanish_Spain,Así que sí... creo que eso es lo que dije. No quiero té. Gracias.
Spanish_LATAM,"Así que bueno... Eso es lo que dije, creo. No quiero té. Gracias."
Korean,그래서... 아까 말한 게 맞아요. 차는 됐어요. 감사합니다.
Russian,"So yeah... that's what I said, I think. No tea. Thank you."
Japanese,ですから…お断りしたつもりです。お茶は結構ですと。
Portuguese_Brazil,"Então, sim... foi isso que eu disse, eu acho. Não quero chá. Agradeço."
Chinese_Simplified,想想……我应该是那么说的。不想喝茶。谢谢。
Chinese_Traditional,對啊……我應該是這麼說的。不要茶。謝謝你。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0021-Customer
English_US,Э-э... ну... я вообще-то...
Description,From [0017-Choice]
French,Euh… c'est que… en fait…
Italian,Uh... ecco... in realtà...
German,Äh …nun ja … Eigentlich …
Spanish_Spain,"Eh, bueno... En realidad..."
Spanish_LATAM,"Eh, bueno... En realidad..."
Korean,어... 음... 제가 지금...
Russian,Uh... well... I actually...
Japanese,あの…いえ…私は本当に…
Portuguese_Brazil,Ahm... bem... na verdade...
Chinese_Simplified,呃……好吧……其实我……
Chinese_Traditional,呃……可是……我其實……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0022-Customer
English_US,"Просто мне сейчас не очень хочется пить. Так что, знаете ли, э-э..."
Description,
French,"Je n'ai pas très soif pour l'instant. Alors, tu vois, euh…"
Italian,"È solo che non ho molta sete in questo momento. Quindi, sai, ehm..."
German,"Es ist nur so, dass ich gerade nicht durstig bin. Also, weißt du, äh …"
Spanish_Spain,"Es que ahora mismo no tengo mucha sed. Así que, ya sabes..."
Spanish_LATAM,"Es que ahora mismo no tengo mucha sed. Así que, ya sabes..."
Korean,"그다지 목이 마르거나 하지 않아서요. 그래서 말인데, 음..."
Russian,"It's just that I'm not really thirsty at the moment. So, you know, uh..."
Japanese,今は喉が渇いていないだけなんです。ですから、その…
Portuguese_Brazil,"É que eu não estou com sede agora. Então, sabe, ahm..."
Chinese_Simplified,怎么说呢，我现在并不口渴。所以，你懂的，呃……
Chinese_Traditional,我現在並不渴。所以，你知道的，呃……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0023-Customer
English_US,"Никакого чая, для меня, прямо сейчас. Да. Спасибо."
Description,
French,Pas de thé pour moi pour l'instant. Ouais. Merci.
Italian,"Niente tè, per me, per adesso. Sì. Grazie."
German,"Kein Tee für mich, im Moment. Ja. Danke."
Spanish_Spain,No quiero té ahora mismo. Sí. Gracias.
Spanish_LATAM,No quiero té ahora mismo. Sí. Gracias.
Korean,"차는 정말 괜찮아요, 지금은. 그래요. 감사합니다."
Russian,"No tea, for me, right now. Yeah. Thank you."
Japanese,今のところ、お茶は結構です。はい。
Portuguese_Brazil,"Não quero chá, no momento. É. Agradeço."
Chinese_Simplified,我暂时不想喝茶。嗯。谢谢。
Chinese_Traditional,現在，不想，喝茶。對。謝謝你。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0024-Alta
English_US,...
Description,
French,…
Italian,...
German,…
Spanish_Spain,...
Spanish_LATAM,...
Korean,...
Russian,...
Japanese,…
Portuguese_Brazil,...
Chinese_Simplified,……
Chinese_Traditional,……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0025-Alta
English_US,"Вы хоть представляете, через что я сейчас прохожу?"
Description,
French,Tu sais ce qui m'arrive en ce moment ?
Italian,Vuoi sapere cosa sto passando in questo periodo?
German,"Weißt du, was ich gerade durchmache?"
Spanish_Spain,¿Sabes por lo que estoy pasando ahora mismo?
Spanish_LATAM,¿Sabes por lo que estoy pasando?
Korean,"이봐요, 지금 내가 어떤 상황인지 알기나 해요?"
Russian,Do you know what I'm going through right now?
Japanese,私が今、どんな苦境にいるか、あんたにわかるか？
Portuguese_Brazil,Você sabe pelo que eu estou passando?
Chinese_Simplified,你知道我都经历了什么吗……
Chinese_Traditional,你知道我現在處於什麼狀況嗎？
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0026-Customer
English_US,Э-э-э...
Description,
French,Euh…
Italian,Eh...
German,Äh …
Spanish_Spain,Eh...
Spanish_LATAM,Eh...
Korean,어...
Russian,Uhh...
Japanese,それは…
Portuguese_Brazil,Ahm...
Chinese_Simplified,呃……
Chinese_Traditional,呃……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0027-Alta
English_US,"Позвольте мне объяснить вам, как прошёл мой день:"
Description,
French,Je vais t'expliquer à quoi ressemble ma journée…
Italian,Lascia che ti dica cosa mi succede ogni giorno.
German,"Lass mich dir erzählen, wie mein Tag bisher so lief:"
Spanish_Spain,Te explicaré cómo ha sido mi día:
Spanish_LATAM,Te voy a contar cómo estuvo mi día hasta ahora...
Korean,요즘 내 인생이 어떤지 들어나 봐요.
Russian,Let me explain to you what my day has been like:
Japanese,どんなにひどい1日だったか説明してやる。
Portuguese_Brazil,Deixa eu te explicar como está sendo o meu dia:
Chinese_Simplified,我来跟你讲讲这几天我都过的是什么日子：
Chinese_Traditional,我來解釋我的一天是怎麼過的：
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0028-Choice
English_US,"Я валюсь с ног каждый раз, когда выхожу в лес искать помощь."
Description,
French,Je m'évanouis chaque fois que je vais dans la forêt chercher de l'aide.
Italian,Perdo i sensi ogni volta che vado nella foresta per cercare aiuto.
German,"Ich breche jedes Mal zusammen, wenn ich im Wald nach Hilfe suche."
Spanish_Spain,Me desplomo cada vez que salgo al bosque a buscar ayuda.
Spanish_LATAM,Me desplomé cada vez que salí al bosque a buscar ayuda.
Korean,도움을 청하러 숲에 갈 때마다 계속 쓰러져서 돌아와요.
Russian,I collapse every time I go out into the forest to find help.
Japanese,森へ行って助けを求めようとするたび、倒れてしまう。
Portuguese_Brazil,Eu desmaio sempre que vou pra floresta procurar ajuda.
Chinese_Simplified,我每次进森林去求助，就会昏迷倒地。
Chinese_Traditional,我只要進到森林中去尋求協助，就會昏倒。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0029-Choice
English_US,"Я не могу носить свой меч, единственную самую важную вещь, что у меня есть."
Description,
French,"Je n'arrive plus à porter mon épée, mon bien le plus précieux."
Italian,"Non posso sollevare la mia spada, la cosa più importante che possiedo."
German,"Ich kann mein Schwert nicht heben, meinen wichtigsten Besitz."
Spanish_Spain,"No puedo llevar mi espada, lo más importante que tengo."
Spanish_LATAM,"No pude levantar mi espada, que es lo más importante que tengo."
Korean,검이 내 인생에서 가장 중요한데 들 수조차 없어요.
Russian,"I can't carry my sword, the single most important thing I own."
Japanese,自分の剣を持てない。何より大切な唯一の持ち物なのに。
Portuguese_Brazil,"Não consigo carregar a minha espada, que é a coisa mais importante que eu tenho."
Chinese_Simplified,我的剑是我最重要的东西，我却拿不起来。
Chinese_Traditional,我拿不起自己的劍，而這把劍又是最重要的東西。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0030-Choice
English_US,Мне приходится быть милой с совершенно незнакомыми людьми.
Description,
French,Je dois être gentille avec les gens que je ne connais pas.
Italian,Devo essere gentile con dei perfetti sconosciuti.
German,Ich muss nett zu komplett Fremden sein.
Spanish_Spain,Tengo que ser amable con completos desconocidos.
Spanish_LATAM,Tuve y tengo que ser amable con gente que no conozco.
Korean,난 알지도 못하는 사람을 친절히 대해야 하는 처지예요.
Russian,I have to be nice to complete strangers.
Japanese,赤の他人に親切にしなきゃいけない。
Portuguese_Brazil,Tenho que ser gentil com pessoas totalmente desconhecidas.
Chinese_Simplified,我必须对陌生人好声好气地说话。
Chinese_Traditional,我必須友善地接待完全不認識的人。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0031-Customer
English_US,"Ох, мне так жаль, я не знал..."
Description,From [0028-Choice]<lf>From [0029-Choice]
French,"Oh, c'est triste, je ne savais pas…"
Italian,"Oh, mi dispiace tanto, non lo sapevo..."
German,"Oh, das tut mir leid, ich hatte keine Ahnung …"
Spanish_Spain,"Oh, lo siento mucho, no lo sabía..."
Spanish_LATAM,"Ah, mil disculpas. No sabía que..."
Korean,"아, 정말 죄송해요. 저는 잘 모르고..."
Russian,"Oh, I'm so sorry, I didn't know..."
Japanese,まあ、それはつらいですね。何も存じ上げず…
Portuguese_Brazil,"Ah, sinto muito, eu não sabia..."
Chinese_Simplified,哦，对不起，我不知道……
Chinese_Traditional,噢，抱歉，我本來不知道……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0032-Customer
English_US,"О, это... э-э... ужасно?"
Description,From [0030-Choice]
French,"Oh, c'est… euh… c'est affreux…"
Italian,"Oh, ed è... ehm... terribile?"
German,"Oh, das ist ja …äh …schrecklich?"
Spanish_Spain,"Oh, eso es... eh... ¿terrible?"
Spanish_LATAM,"Ah, eso es... eh... ¿terrible?"
Korean,"아, 그것... 참... 안됐군요?"
Russian,"Oh, that's... uh... terrible?"
Japanese,まあ、それは…ひどい…ですか？
Portuguese_Brazil,"Ah, isso é... ahm... terrível?"
Chinese_Simplified,哦，那真是……呃……太糟了？
Chinese_Traditional,噢，這……呃……很糟嗎？
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0033-Alta
English_US,"И вот теперь я здесь, изо всех сил пытаюсь управлять чайной лавкой, и кто знает, как долго это продлится,"
Description,
French,Et je me retrouve ici à essayer de faire tourner un salon de thé pour je ne sais combien de temps.
Italian,"E mi ritrovo qui, a cercare di gestire un negozio di tè, chissà per quanto tempo ancora."
German,"Und jetzt bin ich hier draußen und gebe mein Bestes, einen Teeladen zu führen, weiß der Teufel wie lange,"
Spanish_Spain,"Y ahora estoy aquí haciendo todo lo posible para dirigir una tienda de té, quién sabe durante cuánto tiempo,"
Spanish_LATAM,"Y ahora estoy aquí haciendo todo lo posible para atender una tienda de té, quién sabe durante cuánto tiempo."
Korean,그리고 이젠 언제까지가 될지도 모르는 상황에서 이 찻집을 꾸려가려고 애쓰고 있는데
Russian,"And now I'm out here trying my hardest to run a tea shop, for who knows how long,"
Japanese,それで今、こんな所で必死にティーハウスを運営してるんだ。いつ帰れるかもわからずに。
Portuguese_Brazil,"E agora estou aqui me esforçando ao máximo pra operar uma casa de chá, sabe-se lá por quanto tempo."
Chinese_Simplified,而现在我还得竭尽所能地经营一家茶馆，还不知道要经营多久，
Chinese_Traditional,然後我現在盡力營運一間茶屋，誰知道要營運多久，
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0034-Alta
English_US,и моя единственная обязанность — вручать людям чай. И всё.
Description,
French,Et tout ce que j'ai à faire c'est d'amener du thé aux gens.
Italian,E tutto quello che devo fare è portare il tè alla gente.
German,"und meine einzige Pflicht ist es, Leuten Tee in die Hand zu drücken. Das ist alles."
Spanish_Spain,y mi única responsabilidad es ofrecer té a la gente. Eso es todo.
Spanish_LATAM,Y mi única responsabilidad es ofrecer té a la gente. Ni más ni menos.
Korean,내가 맡은 일이라곤 남들에게 차를 따라주는 것뿐이에요. 그게 전부라고요.
Russian,and my one responsibility is to put tea in peoples' hands. That's it.
Japanese,しかも仕事といえば、人にお茶を手渡すこと。それだけだ。
Portuguese_Brazil,E minha única responsabilidade é colocar chá nas mãos das pessoas. É isso.
Chinese_Simplified,我的责任就是把茶送到客人手里。仅此而已。
Chinese_Traditional,而我的任務就是泡茶給客人喝。就這樣。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0035-Customer
English_US,"Мне... мне жаль, что вам приходится это делать..."
Description,
French,Je… je suis triste pour toi…
Italian,Mi... mi dispiace che tu debba farlo...
German,"Es … Es tut mir leid, dass du das machen musst …"
Spanish_Spain,Yo... Siento que tengas que hacer eso...
Spanish_LATAM,Lamento... que tengas que hacer eso...
Korean,아... 너무 안타까운 일이네요...
Russian,I'm... I'm sorry you have to do that...
Japanese,それは…ずいぶん大変ですね…
Portuguese_Brazil,Eu... eu sinto muito que você tenha que fazer isso...
Chinese_Simplified,我……对于你的无奈，我很抱歉……
Chinese_Traditional,我……很遺憾你得做這份工作……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0036-Alta
English_US,"Так что я приготовлю вам чай, и вы его выпьете, потому что вы находитесь в чайной лавке."
Description,
French,"Alors, je vais te faire du thé et tu vas le boire parce que tu es dans un salon de thé."
Italian,"Quindi ti preparerò un tè e lo berrai, perché sei in una sala da tè, ed è esattamente quello che si fa qua."
German,"Also mache ich dir jetzt einen Tee und du wirst ihn trinken, weil wir in einem Teeladen sind."
Spanish_Spain,"Así que voy a prepararte un té y te lo beberás, porque estás en una tienda de té."
Spanish_LATAM,Así que te voy a preparar un té y lo vas a tomar porque estás en una tienda de té.
Korean,그러니까 이제부터 차를 만들 테니 손님은 군말 없이 마셔요. 찻집에 왔으면 차를 마시라고요.
Russian,"So I am going to make you a tea, and you will drink it, because you're in a tea shop."
Japanese,そんなわけで、私がお茶を淹れ、あんたはそれを飲む。ここはティーハウスだからね。
Portuguese_Brazil,"Então, eu vou fazer um chá pra você, e você vai tomar, porque está numa casa de chá."
Chinese_Simplified,我要给你泡杯茶，你必须喝两口，因为你在茶馆里。
Chinese_Traditional,所以我要泡杯茶，而你要喝下這杯茶，因為你現在就在茶屋裡。
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0037-Alta
English_US,Да? Мы поняли друг друга?
Description,
French,OK ? On est d'accord ?
Italian,Ci siamo capiti?
German,Ja? Verstehen wir uns?
Spanish_Spain,¿Vale? ¿De acuerdo?
Spanish_LATAM,¿Te parece bien? ¿Estamos de acuerdo?
Korean,알았죠? 그렇게 할 거죠?
Russian,Yes? Are we good?
Japanese,どう？ それでいい？
Portuguese_Brazil,Sim? Combinado?
Chinese_Simplified,如何？有意见吗？
Chinese_Traditional,好嗎？可以嗎？
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0038-Customer
English_US,Э-э...
Description,
French,Euh…
Italian,Uh...
German,Äh …
Spanish_Spain,Eh...
Spanish_LATAM,Eh...
Korean,어...
Russian,Uh...
Japanese,あの…
Portuguese_Brazil,Ahm...
Chinese_Simplified,呃……
Chinese_Traditional,呃……
Polish,
Turkish,
Swedish,
Thai,
Arabic,
Key,DemonHunter_RAW-0039-Customer
English_US,Простите... мне так жаль.
Description,
French,Je m'excuse… vraiment…
Italian,Mi dispiace... mi dispiace tanto.
German,Tut mir leid … Tut mir sehr leid …
Spanish_Spain,Lo siento... Lo siento mucho.
Spanish_LATAM,Perdón... Lo siento mucho.
